staffID,name,specialty,phoneNumber
00416613,shannen,spec_13,8409789860
00416614,piper,spec_4,3029636423
00416615,alfreda,spec_12,7941189552
00416616,sadye,spec_10,9833436730
00416617,zonnya,spec_14,1953107794
00416618,dawna,spec_15,6333740472
00416619,kari,spec_5,9752037632
00416620,xena,spec_4,1079333140
00416621,mignon,spec_1,6270468240
00416622,selia,spec_4,3670516231
00416623,adey,spec_12,6082859629
00416624,yasmin,spec_19,4621402845
00416625,arlyne,spec_5,5076327571
00416626,audie,spec_3,4142365333
00416627,chrissy,spec_12,2931541836
00416628,selena,spec_3,5137543511
00416629,nikki,spec_3,3428123417
00416630,danica,spec_13,6155460574
00416631,angele,spec_2,3775196775
00416632,myrta,spec_3,5876561315
00416633,elenore,spec_3,9663848694
00416634,salaidh,spec_7,9092412668
00416635,leanor,spec_15,5075581479
00416636,jacquetta,spec_6,8370538515
00416637,carmina,spec_16,2491809060
00416638,bertina,spec_12,3117301193
00416639,mommy,spec_17,5245864478
00416640,halimeda,spec_2,1774709491
00416641,donelle,spec_4,9900852839
00416642,dinnie,spec_17,2642316259
00416643,tammara,spec_4,2464807491
00416644,robena,spec_7,1856821867
00416645,michelle,spec_5,9886489024
00416646,kristin,spec_8,9217204986
00416647,juana,spec_3,8491878899
00416648,danyette,spec_16,8588274140
00416649,manya,spec_11,4593833017
00416650,robinett,spec_10,5467495150
00416651,arlyn,spec_9,2916785061
00416652,allx,spec_8,9716648724
00416653,malvina,spec_15,1936262475
00416654,julienne,spec_12,9432887755
00416655,gratia,spec_16,6965069700
00416656,gussi,spec_19,5655348333
00416657,babara,spec_2,6330692119
00416658,celestyna,spec_10,1343729813
00416659,susannah,spec_7,9328416750
00416660,loutitia,spec_9,8363512011
00416661,elisabet,spec_1,5063717449
00416662,peggy,spec_1,3022320565
00416663,rosetta,spec_10,5052273307
00416664,ariana,spec_19,6719283516
00416665,lisabeth,spec_8,7571229439
00416666,ronda,spec_17,5201674114
00416667,tamarah,spec_13,3886248823
00416668,bride,spec_5,3496924534
00416669,georgia,spec_9,2764513445
00416670,marla,spec_17,9080024515
00416671,anica,spec_6,7177637307
00416672,hollyanne,spec_15,6968580169
00416673,idalina,spec_9,2692226597
00416674,bernadina,spec_10,7522401774
00416675,joann,spec_1,4074557661
00416676,laraine,spec_6,7352144996
00416677,addia,spec_19,6605682728
00416678,lizette,spec_4,3484080723
00416679,merrilee,spec_15,9166473308
00416680,anissa,spec_4,6278580190
00416681,zuzana,spec_19,3828772941
00416682,anastassia,spec_17,6553646511
00416683,rheba,spec_1,8929033519
00416684,kizzie,spec_16,2660506237
00416685,jeanne,spec_4,3699012469
00416686,lissi,spec_4,7083559690
00416687,ladonna,spec_14,8450342655
00416688,agace,spec_20,2746003402
00416689,maryellen,spec_3,9823084678
00416690,henrieta,spec_19,9209533413
00416691,della,spec_19,2281120600
00416692,beilul,spec_6,1116983021
00416693,gloria,spec_5,8379687132
00416694,megan,spec_6,4616506921
00416695,corinne,spec_16,5520902504
00416696,maitilde,spec_15,9218843546
00416697,kaycee,spec_16,6206771541
00416698,tiphany,spec_2,1524586854
00416699,pru,spec_11,5128778221
00416700,modestia,spec_16,2515966884
00416701,perl,spec_20,1076934269
00416702,maurine,spec_4,2349034192
00416703,nettle,spec_14,4407365060
00416704,thomasina,spec_6,8819452721
00416705,ardra,spec_4,4277446731
00416706,doretta,spec_9,9752765158
00416707,susana,spec_3,3918597410
00416708,dani,spec_12,2848027312
00416709,mahala,spec_8,2785269687
00416710,jany,spec_10,2899069146
00416711,franciska,spec_1,2095124061
00416712,evangelin,spec_10,7843020935
00416713,milzie,spec_17,5022526864
00416714,nissie,spec_16,6660436532
00416715,adora,spec_20,2062629933
00416716,lillian,spec_13,8950200130
00416717,nyssa,spec_2,2357163324
00416718,holly,spec_12,6021842292
00416719,elyn,spec_2,9575207494
00416720,pauli,spec_3,4994465046
00416721,heath,spec_16,6906285855
00416722,honoria,spec_10,5587645589
00416723,alina,spec_8,9570506839
00416724,ianthe,spec_4,6594821302
00416725,elsinore,spec_14,1104990794
00416726,eimile,spec_15,9724202372
00416727,collette,spec_1,2020932296
00416728,jessa,spec_6,1889525763
00416729,melissa,spec_8,7470606337
00416730,sharlene,spec_2,7540938293
00416731,tildy,spec_7,1763564849
00416732,norma,spec_15,2192248456
00416733,hanna,spec_14,8934673101
00416734,nadya,spec_3,1775453935
00416735,correna,spec_19,5749922600
00416736,elizabet,spec_19,8884734182
00416737,eartha,spec_12,7881134510
00416738,fallon,spec_6,2974008500
00416739,tatiania,spec_17,4038658281
00416740,cindi,spec_16,5763490379
00416741,kimberlee,spec_6,2578050716
00416742,sisely,spec_15,2149363927
00416743,julia,spec_12,7179728055
00416744,batsheva,spec_17,3086416015
00416745,vitia,spec_19,2852666787
00416746,tabbitha,spec_8,2342790298
00416747,esther,spec_11,4360164102
00416748,erin,spec_6,3557075405
00416749,hortensia,spec_20,5309939390
00416750,althea,spec_7,3371093971
00416751,aeriel,spec_13,2534258740
00416752,georgianna,spec_6,4546456363
00416753,moyra,spec_12,6369035680
00416754,eirena,spec_19,6571704489
00416755,sallyann,spec_17,2523889052
00416756,riane,spec_11,6589511321
00416757,cindra,spec_2,1556815059
00416758,clarine,spec_20,6642114916
00416759,kyla,spec_2,1601823845
00416760,liuka,spec_7,1837874211
00416761,gerianna,spec_17,6142727142
00416762,desiri,spec_14,8324394015
00416763,mary,spec_7,7167362498
00416764,halli,spec_18,4580891447
00416765,marlene,spec_3,5695662064
00416766,cristabel,spec_10,8470334396
00416767,auroora,spec_11,2007356143
00416768,devinne,spec_12,9068796689
00416769,dolley,spec_3,8956475228
00416770,leesa,spec_5,3569000902
00416771,gertrude,spec_6,2931040857
00416772,jacquie,spec_19,8199342558
00416773,starlin,spec_2,7814147643
00416774,madelaine,spec_13,9264956981
00416775,elladine,spec_14,2558603376
00416776,eulalie,spec_11,1248056379
00416777,essie,spec_14,8302328392
00416778,marie,spec_2,1569798809
00416779,lelah,spec_7,3045352577
00416780,josepha,spec_7,3583386149
00416781,roslyn,spec_3,2193034606
00416782,carmencita,spec_1,5370205867
00416783,aubine,spec_11,8431672577
00416784,hillary,spec_7,5336752656
00416785,peri,spec_1,6745540220
00416786,barbie,spec_14,8549882291
00416787,aryn,spec_6,8392231091
00416788,gusty,spec_1,2202926797
00416789,flora,spec_19,2442042308
00416790,dahlia,spec_3,2043349507
00416791,tamqrah,spec_3,8733284377
00416792,gracia,spec_1,1035841013
00416793,dulcinea,spec_4,4097410009
00416794,hester,spec_17,4509391234
00416795,dorelle,spec_15,6100683399
00416796,juana,spec_15,8605704507
00416797,nanni,spec_6,3320379901
00416798,isa,spec_5,8196201628
00416799,raynell,spec_6,6558293123
00416800,audra,spec_15,3823266561
00416801,lebbie,spec_18,2362934436
00416802,ivette,spec_14,7556640823
00416803,godiva,spec_20,3012110530
00416804,alidia,spec_11,9132538981
00416805,dayle,spec_9,3835574363
00416806,jacenta,spec_8,1139005266
00416807,gaye,spec_11,4370068801
00416808,henka,spec_3,7951565058
00416809,florencia,spec_15,8610300731
00416810,melba,spec_19,2421452810
00416811,danette,spec_17,5123399940
00416812,almeda,spec_7,9631821839
